Country,Year,Tech Sector,Market Share (%), R&D Investment (in USD) ,Number of Patents Filed (Annual),Number of Tech Companies, Tech Exports (in USD) ,Number of Startups, Venture Capital Funding (in USD) ,Global Innovation Ranking,Internet Penetration (%),5G Network Coverage (%),University Research Collaborations,Top Tech Products Exported,Number of Tech Workers
Japan,2004,Semiconductor,28.09%," $52,077,530,730 ",599,255," $116,369,826,292.60 ",200," $14,917,979,780 ",17,50%,43%,48,AI Chips,620588
Japan,2008,Semiconductor,44.00%," $93,806,812,512 ",5972,297," $55,687,536,205.20 ",149," $29,335,894,016 ",12,46%,22%,44,Robots,488972
Japan,2010,Robotics,32.31%," $51,475,007,226 ",9068,980," $123,005,262,832.03 ",246," $34,415,853,002 ",10,65%,75%,79,AI Chips,341514
China,2001,Telecommunications,12.91%," $31,210,659,571 ",3756,210," $101,652,987,504.48 ",90," $11,404,806,235 ",10,44%,18%,115,Cloud Servers,843345
China,2020,Telecommunications,24.19%," $74,698,447,201 ",1110,338," $64,861,833,146.33 ",128," $10,780,148,072 ",1,65%,24%,128,5G Equipment,807921
Japan,2022,Robotics,19.24%," $6,717,665,564 ",4368,1408," $23,373,593,253.15 ",230," $31,583,008,270 ",1,81%,35%,43,Cloud Servers,473355
China,2001,Software,5.74%," $24,164,056,089 ",9313,1229," $108,737,645,769.85 ",409," $12,391,017,963 ",17,52%,22%,15,5G Equipment,479944
China,2022,Cloud Computing,41.59%," $99,373,898,230 ",606,588," $72,479,979,986.48 ",486," $6,941,483,431 ",4,54%,15%,28,Cloud Servers,479884
China,2001,Telecommunications,28.49%," $26,614,942,675 ",5167,377," $151,057,762,116.08 ",155," $29,110,131,184 ",18,88%,37%,123,AI Chips,105260
China,2013,Software,18.88%," $56,633,341,660 ",190,838," $95,261,575,737.85 ",378," $26,365,815,066 ",18,77%,62%,27,5G Equipment,799080
China,2007,AI,16.32%," $1,531,453,056 ",3994,602," $110,363,128,933.39 ",162," $30,814,959,635 ",11,41%,66%,103,5G Equipment,348599
China,2010,Biotechnology,25.90%," $23,278,431,318 ",6415,602," $68,099,573,889.48 ",304," $4,689,971,412 ",4,95%,66%,52,Semiconductors,100164
Japan,2021,AI,16.35%," $85,365,736,017 ",4399,1698," $178,474,827,024.46 ",193," $32,891,722,333 ",17,50%,22%,162,Cloud Servers,79380
Japan,2004,Semiconductor,13.28%," $41,535,385,363 ",4857,391," $129,223,524,411.13 ",78," $19,665,378,543 ",17,95%,67%,28,Robots,978406
China,2001,Robotics,41.39%," $46,564,680,601 ",8170,1246," $111,605,269,964.70 ",49," $18,550,574,774 ",6,93%,15%,146,5G Equipment,3772
Japan,2019,AI,6.52%," $30,731,512,632 ",411,1202," $184,158,063,519.04 ",128," $29,937,148,624 ",19,56%,74%,20,5G Equipment,271405
China,2018,Telecommunications,18.93%," $54,676,888,444 ",3112,529," $15,067,222,121.65 ",210," $4,234,933,774 ",6,47%,21%,19,Semiconductors,670015
Japan,2000,Telecommunications,14.31%," $42,362,040,503 ",5524,427," $8,218,121,496.43 ",224," $34,784,929,770 ",4,45%,81%,157,Robots,933739
China,2018,Software,20.02%," $29,959,728,253 ",7349,404," $48,865,455,906.91 ",18," $6,626,747,276 ",15,75%,26%,91,Robots,626182
China,2004,AI,15.82%," $99,453,531,598 ",9545,1554," $44,519,890,088.01 ",234," $44,810,775,552 ",7,62%,87%,29,AI Chips,297901
China,2002,Biotechnology,46.29%," $95,217,532,695 ",3535,335," $27,515,774,918.41 ",64," $44,638,374,214 ",18,82%,17%,58,5G Equipment,703844
China,2019,Robotics,44.61%," $20,790,569,457 ",9631,515," $138,029,107,658.62 ",241," $28,903,403,152 ",5,78%,24%,177,5G Equipment,662418
Japan,2005,Software,13.22%," $27,084,801,791 ",8901,1052," $90,218,095,398.50 ",360," $46,745,942,314 ",7,72%,28%,115,5G Equipment,901887
Japan,2007,Semiconductor,13.05%," $33,789,723,651 ",2074,117," $84,863,895,293.45 ",292," $31,568,383,299 ",17,71%,29%,159,5G Equipment,860711
China,2009,AI,26.68%," $91,018,333,979 ",1469,1210," $43,332,421,355.84 ",199," $15,310,124,514 ",3,77%,34%,68,5G Equipment,845366
China,2014,Cloud Computing,34.15%," $52,112,656,985 ",5644,1290," $187,277,091,861.00 ",336," $19,086,965,488 ",11,93%,41%,104,5G Equipment,973834
China,2001,Semiconductor,22.39%," $15,603,068,168 ",3959,342," $37,733,163,761.38 ",270," $837,322,921 ",19,61%,86%,155,5G Equipment,401399
Japan,2017,Software,25.33%," $9,809,897,878 ",4288,865," $149,259,433,085.71 ",346," $27,125,225,981 ",4,71%,59%,80,Cloud Servers,584292
Japan,2014,Cloud Computing,23.11%," $29,923,193,620 ",527,1197," $16,244,842,352.71 ",235," $5,226,750,240 ",3,80%,68%,172,AI Chips,784151
Japan,2015,Telecommunications,24.78%," $22,226,403,512 ",6472,1479," $102,285,756,436.54 ",265," $29,453,592,574 ",2,46%,11%,113,Semiconductors,84807
Japan,2003,Telecommunications,38.22%," $95,788,586,482 ",1317,1190," $7,611,634,125.97 ",365," $43,516,582,874 ",17,99%,74%,94,5G Equipment,685683
China,2002,AI,39.46%," $92,644,651,992 ",7495,1958," $112,601,719,013.25 ",21," $30,656,459,514 ",14,47%,43%,53,Robots,4795
China,2005,Telecommunications,8.50%," $2,543,801,839 ",8218,827," $32,868,991,645.35 ",264," $40,510,300,461 ",8,90%,42%,73,Semiconductors,329099
Japan,2001,Biotechnology,48.02%," $33,059,915,968 ",5347,1208," $8,102,360,253.64 ",285," $15,205,914,107 ",15,86%,34%,142,AI Chips,709899
Japan,2001,Cloud Computing,35.67%," $91,789,948,008 ",2906,1367," $127,716,775,316.45 ",324," $9,020,409,286 ",19,60%,28%,89,Semiconductors,969944
Japan,2021,Robotics,40.89%," $85,912,834,968 ",4725,1115," $143,044,117,918.22 ",215," $46,959,218,544 ",7,70%,38%,121,Robots,827783
Japan,2016,Semiconductor,34.87%," $17,578,665,643 ",7051,533," $64,601,505,594.81 ",233," $33,399,259,159 ",6,41%,52%,142,Semiconductors,734120
Japan,2006,Telecommunications,20.93%," $98,186,428,019 ",486,881," $99,687,601,692.03 ",92," $18,920,651,473 ",2,91%,71%,27,Robots,556372
Japan,2009,Software,32.37%," $1,717,421,386 ",8056,1089," $194,548,165,889.48 ",333," $17,852,691,073 ",2,82%,18%,155,Semiconductors,208556
Japan,2021,Software,38.56%," $94,874,215,850 ",8492,346," $135,669,247,296.94 ",286," $24,041,125,906 ",5,78%,18%,23,Semiconductors,811122
China,2005,Telecommunications,37.91%," $12,115,826,821 ",2985,1622," $106,607,093,706.87 ",157," $19,772,103,250 ",6,71%,68%,134,Semiconductors,646728
China,2004,Semiconductor,38.00%," $22,639,138,400 ",4496,1398," $47,761,860,182.57 ",282," $28,687,461,113 ",7,71%,87%,114,5G Equipment,172947
Japan,2004,Biotechnology,7.36%," $72,674,778,554 ",8368,62," $175,074,738,630.56 ",81," $45,676,266,450 ",12,96%,37%,63,Semiconductors,965212
Japan,2023,Cloud Computing,39.11%," $76,412,873,750 ",1647,400," $5,102,008,315.55 ",464," $7,972,328,795 ",18,73%,62%,62,Cloud Servers,282281
Japan,2017,Biotechnology,29.21%," $42,483,421,275 ",3757,1104," $135,211,181,548.71 ",237," $45,552,990,313 ",13,88%,26%,191,5G Equipment,94156
China,2014,Telecommunications,17.62%," $19,733,486,545 ",5920,808," $34,432,361,957.19 ",318," $21,079,376,858 ",10,73%,54%,11,Robots,601029
China,2016,Semiconductor,44.38%," $73,716,515,591 ",4873,1628," $183,434,292,741.96 ",323," $19,855,192,656 ",17,49%,24%,65,Cloud Servers,558932
China,2005,Cloud Computing,41.01%," $16,843,255,699 ",8484,1199," $197,932,209,730.63 ",228," $9,554,251,035 ",12,96%,74%,132,Semiconductors,814842
China,2016,Biotechnology,7.47%," $44,388,178,408 ",7258,1839," $19,530,767,265.51 ",161," $16,803,123,156 ",5,54%,57%,54,Semiconductors,167999
China,2001,Biotechnology,46.15%," $42,107,321,451 ",665,558," $96,844,490,560.59 ",287," $23,564,043,174 ",16,75%,81%,52,Cloud Servers,833147
Japan,2000,Semiconductor,36.85%," $54,278,187,532 ",6902,212," $96,576,927,386.77 ",145," $645,342,095 ",12,66%,76%,76,Cloud Servers,696350
China,2023,Software,24.51%," $1,758,428,859 ",7903,1503," $158,751,237,031.57 ",274," $7,972,870,875 ",14,60%,42%,144,Robots,457868
Japan,2019,Semiconductor,14.67%," $48,525,338,226 ",1591,1368," $72,424,320,583.40 ",41," $32,352,438,356 ",14,62%,61%,186,5G Equipment,367341
Japan,2011,AI,23.94%," $75,008,666,665 ",1133,1732," $194,941,673,600.32 ",67," $48,915,026,391 ",6,48%,53%,142,Robots,480504
Japan,2016,Robotics,37.78%," $58,895,512,748 ",5812,1239," $68,988,511,094.98 ",35," $17,482,970,503 ",15,91%,32%,51,Robots,139673
Japan,2004,Cloud Computing,40.25%," $83,483,940,517 ",143,895," $192,419,623,506.54 ",228," $45,641,553,599 ",14,72%,40%,51,Semiconductors,828725
Japan,2009,AI,40.06%," $70,225,443,499 ",5468,173," $43,587,665,674.10 ",427," $29,584,198,725 ",6,47%,68%,151,Robots,707121
China,2005,Software,17.46%," $78,853,681,696 ",8734,1404," $79,026,498,840.72 ",121," $23,564,939,904 ",7,65%,34%,28,5G Equipment,100042
Japan,2008,Biotechnology,10.42%," $93,499,390,682 ",3904,189," $72,224,548,732.11 ",326," $16,745,394,602 ",16,90%,55%,151,Cloud Servers,407021
Japan,2012,Telecommunications,41.94%," $25,281,452,685 ",8043,1677," $67,897,580,582.68 ",334," $8,378,442,430 ",8,54%,50%,91,Cloud Servers,113728
China,2008,Telecommunications,36.24%," $54,922,005,143 ",1067,446," $153,947,375,152.36 ",31," $18,152,063,248 ",3,55%,78%,131,AI Chips,2568
China,2003,Telecommunications,45.69%," $22,472,536,956 ",4822,855," $2,188,517,429.47 ",337," $5,999,211,405 ",5,83%,75%,154,Cloud Servers,223391
Japan,2000,Robotics,32.18%," $94,197,018,833 ",6289,1373," $187,687,449,291.10 ",98," $9,135,140,858 ",4,48%,52%,43,Cloud Servers,958282
China,2009,AI,31.46%," $1,821,094,914 ",9046,1780," $76,392,725,458.69 ",456," $37,047,123,644 ",9,64%,47%,42,5G Equipment,454410
Japan,2001,Semiconductor,43.91%," $67,617,750,708 ",2608,69," $25,651,359,376.98 ",499," $42,019,280,269 ",17,69%,50%,114,Cloud Servers,838577
China,2000,Software,7.27%," $15,842,139,644 ",8255,60," $22,586,075,726.59 ",276," $36,023,403,845 ",18,99%,28%,192,AI Chips,373472
Japan,2023,Robotics,21.74%," $76,724,243,498 ",8088,954," $47,919,988,068.88 ",78," $34,667,750,033 ",3,96%,11%,73,AI Chips,380918
Japan,2007,Cloud Computing,45.02%," $58,311,880,144 ",863,327," $59,448,644,553.34 ",261," $14,252,690,139 ",9,95%,59%,105,Semiconductors,61593
Japan,2015,Telecommunications,35.74%," $8,455,467,853 ",6001,249," $123,330,390,644.26 ",101," $2,613,693,571 ",3,67%,64%,35,Robots,119307
China,2020,Semiconductor,40.57%," $2,276,374,328 ",4199,699," $65,451,087,396.20 ",189," $13,099,513,233 ",11,58%,77%,149,Robots,98321
Japan,2007,Robotics,9.88%," $31,036,370,892 ",1175,838," $53,953,172,993.10 ",93," $31,698,256,502 ",8,96%,66%,163,Robots,59000
Japan,2020,Semiconductor,43.88%," $25,124,314,206 ",9295,1173," $133,843,019,095.07 ",44," $43,093,599,197 ",3,46%,88%,142,Semiconductors,638438
Japan,2013,Cloud Computing,26.59%," $47,454,121,436 ",1533,1486," $191,762,367,432.58 ",311," $26,258,324,084 ",13,48%,68%,170,Semiconductors,891510
China,2015,Cloud Computing,16.17%," $64,300,562,925 ",8551,1819," $152,025,580,138.59 ",386," $6,445,368,668 ",6,90%,63%,1,Robots,567576
Japan,2016,Biotechnology,24.70%," $49,773,632,038 ",5422,1451," $4,047,200,830.38 ",166," $24,719,828,202 ",16,42%,44%,98,Robots,358015
Japan,2019,Biotechnology,33.63%," $25,208,449,353 ",6770,316," $194,402,142,635.43 ",86," $12,737,967,798 ",14,61%,88%,82,5G Equipment,891732
China,2008,Biotechnology,30.60%," $81,378,217,836 ",8198,836," $116,887,281,007.21 ",336," $35,631,795,283 ",7,66%,42%,110,AI Chips,50448
Japan,2022,Cloud Computing,44.27%," $17,649,251,758 ",3131,360," $148,743,323,628.95 ",21," $33,100,410,182 ",15,70%,25%,179,Cloud Servers,921783
Japan,2020,Cloud Computing,10.39%," $57,734,823,622 ",3965,592," $34,022,468,718.29 ",127," $24,556,594,991 ",18,85%,13%,53,Cloud Servers,221966
China,2011,Robotics,5.07%," $84,014,868,641 ",9439,1153," $60,327,004,884.56 ",222," $46,670,941,301 ",14,87%,47%,51,Robots,418715
Japan,2009,Biotechnology,21.69%," $75,791,105,962 ",3064,280," $158,689,000,639.05 ",96," $41,088,179,564 ",19,68%,88%,155,Cloud Servers,994715
China,2014,Software,48.44%," $45,976,187,237 ",1002,1567," $146,973,479,118.37 ",120," $46,539,903,827 ",8,80%,53%,113,Cloud Servers,318685
China,2017,Semiconductor,30.77%," $26,752,346,741 ",1326,1318," $186,577,553,100.97 ",218," $5,545,860,155 ",11,44%,47%,21,5G Equipment,690861
Japan,2015,Cloud Computing,43.28%," $17,970,067,026 ",6705,502," $22,629,652,322.53 ",389," $21,777,875,244 ",9,62%,12%,124,Cloud Servers,764226
Japan,2012,Software,44.25%," $54,668,254,146 ",3680,1382," $167,452,592,413.91 ",356," $33,434,855,441 ",3,57%,43%,56,AI Chips,263705
Japan,2004,Telecommunications,26.70%," $2,149,459,331 ",7509,608," $172,368,265,788.90 ",337," $33,943,062,369 ",8,46%,55%,55,Cloud Servers,730675
Japan,2016,Telecommunications,42.19%," $87,822,577,671 ",9212,451," $163,925,486,214.04 ",497," $10,987,153,492 ",3,48%,32%,160,Robots,431428
Japan,2012,Robotics,13.77%," $49,592,803,517 ",7049,744," $178,346,271,299.60 ",266," $2,054,527,465 ",4,58%,50%,108,5G Equipment,702161
Japan,2013,Biotechnology,13.87%," $38,890,423,897 ",3001,231," $23,254,064,065.97 ",131," $21,351,021,999 ",13,59%,40%,135,AI Chips,837662
China,2011,Robotics,13.76%," $83,332,803,740 ",9331,943," $155,755,706,552.11 ",197," $44,908,418,076 ",3,94%,31%,163,Cloud Servers,669738
Japan,2008,Robotics,46.62%," $60,680,116,762 ",9626,1195," $88,711,024,149.22 ",58," $41,287,123,624 ",16,77%,67%,147,Robots,587346
Japan,2022,Telecommunications,8.95%," $61,019,178,001 ",4192,1928," $35,136,835,749.15 ",435," $36,264,901,765 ",11,84%,41%,198,Semiconductors,336663
Japan,2018,Software,31.19%," $71,196,016,468 ",214,498," $1,464,441,724.92 ",467," $33,925,340,679 ",5,92%,10%,79,Robots,112685
China,2007,Robotics,10.34%," $92,250,843,816 ",6048,1933," $144,072,339,419.93 ",207," $8,291,463,276 ",8,70%,37%,85,AI Chips,131656
China,2023,Software,32.88%," $83,068,990,808 ",8250,1592," $168,864,593,361.11 ",352," $39,218,797,470 ",6,50%,30%,198,5G Equipment,619242
Japan,2007,Semiconductor,34.84%," $35,664,493,465 ",4153,410," $25,827,993,538.38 ",179," $6,378,181,944 ",10,66%,49%,192,Semiconductors,707392
China,2001,Biotechnology,41.23%," $76,408,410,459 ",4866,1350," $60,178,376,355.01 ",206," $334,051,955 ",17,52%,50%,53,Robots,688941
Japan,2014,Biotechnology,29.46%," $63,905,561,120 ",239,637," $128,151,460,572.37 ",84," $17,128,688,915 ",3,94%,38%,182,5G Equipment,569614
Japan,2015,AI,43.88%," $26,963,748,659 ",9172,1786," $144,839,624,838.37 ",491," $47,206,669,822 ",18,76%,33%,195,Robots,906543
Japan,2015,AI,12.42%," $85,970,470,977 ",8780,373," $45,745,404,756.20 ",471," $46,619,231,654 ",8,43%,55%,166,5G Equipment,122400
Japan,2002,Semiconductor,42.03%," $76,425,889,698 ",7148,1427," $183,958,267,852.38 ",367," $47,704,827,223 ",5,79%,69%,190,AI Chips,708199
Japan,2000,Semiconductor,9.34%," $24,024,460,339 ",2698,231," $15,604,974,969.04 ",227," $21,278,839,023 ",18,43%,67%,104,AI Chips,580199
China,2017,Robotics,21.52%," $49,954,110,763 ",7940,1541," $173,349,188,102.56 ",29," $2,177,006,092 ",15,65%,56%,84,5G Equipment,68036
China,2016,AI,36.86%," $29,699,622,808 ",7806,503," $188,974,744,002.15 ",44," $19,130,752,573 ",11,89%,63%,145,Semiconductors,743345
Japan,2000,Telecommunications,9.74%," $18,928,012,156 ",5224,1170," $93,401,071,801.37 ",257," $29,781,491,062 ",19,45%,51%,74,Semiconductors,918618
China,2012,Robotics,31.76%," $67,527,775,629 ",4870,139," $79,232,092,602.46 ",405," $37,410,129,438 ",11,70%,82%,106,5G Equipment,58228
Japan,2003,Semiconductor,49.07%," $26,019,808,097 ",3062,1984," $147,044,154,240.01 ",410," $7,646,586,917 ",6,54%,29%,93,AI Chips,395938
China,2017,Biotechnology,18.33%," $64,661,783,100 ",4286,753," $41,082,031,274.55 ",244," $2,958,242,985 ",16,75%,11%,65,5G Equipment,683619
China,2015,Biotechnology,9.19%," $80,603,786,598 ",9837,832," $107,647,678,728.57 ",452," $31,852,560,804 ",15,56%,74%,191,Cloud Servers,427446
Japan,2009,Biotechnology,22.17%," $96,119,791,483 ",8962,1080," $36,071,163,741.85 ",68," $15,939,437,493 ",7,85%,58%,186,Robots,947829
China,2010,Software,36.42%," $65,508,262,164 ",6981,626," $199,559,292,167.84 ",244," $6,412,824,579 ",15,87%,71%,189,Semiconductors,674904
Japan,2013,Semiconductor,27.14%," $9,260,502,319 ",8783,1023," $22,590,832,245.95 ",15," $49,058,520,824 ",19,69%,79%,133,Semiconductors,158745
Japan,2009,Software,46.77%," $26,774,297,570 ",3210,629," $143,205,725,632.71 ",248," $16,481,461,996 ",13,78%,55%,8,Semiconductors,132805
China,2003,AI,34.37%," $68,617,768,784 ",8524,1720," $73,881,050,520.07 ",138," $36,023,574,921 ",19,46%,16%,16,Semiconductors,863673
Japan,2020,Robotics,31.16%," $92,424,253,100 ",4669,796," $191,932,528,429.36 ",149," $39,757,392,948 ",8,83%,47%,157,AI Chips,662855
Japan,2013,Semiconductor,24.95%," $85,980,613,509 ",8235,1579," $19,259,981,082.23 ",243," $26,640,647,575 ",12,69%,49%,191,Robots,808198
China,2011,Telecommunications,47.34%," $50,247,391,271 ",6010,1601," $177,698,411,320.44 ",187," $23,072,297,900 ",8,56%,11%,14,5G Equipment,899053
China,2001,Cloud Computing,11.09%," $72,688,192,503 ",6270,1679," $174,480,610,223.85 ",113," $31,309,670,215 ",16,69%,79%,58,Robots,135870
China,2018,Semiconductor,44.95%," $49,136,021,075 ",6714,1444," $64,373,139,496.00 ",119," $9,543,621,120 ",10,71%,64%,122,5G Equipment,379485
Japan,2015,Cloud Computing,13.24%," $79,509,559,556 ",4838,1049," $195,011,415,591.78 ",32," $7,059,506,562 ",19,50%,77%,3,Cloud Servers,606422
China,2000,Software,30.40%," $60,454,363,794 ",3435,1843," $52,809,109,217.26 ",485," $33,298,149,988 ",1,78%,64%,68,5G Equipment,607220
China,2003,Robotics,26.17%," $24,559,383,860 ",3568,1749," $188,574,894,936.83 ",421," $14,136,356,228 ",11,84%,86%,14,5G Equipment,252780
China,2012,Semiconductor,13.78%," $36,438,078,944 ",9012,815," $46,605,674,133.23 ",437," $6,461,736,455 ",17,88%,58%,27,Semiconductors,92409
Japan,2004,Biotechnology,32.31%," $69,906,244,959 ",407,719," $3,844,545,361.04 ",161," $49,735,330,242 ",7,99%,18%,179,Robots,191780
Japan,2014,Telecommunications,24.88%," $79,055,203,745 ",7834,894," $42,605,211,683.06 ",54," $43,089,913,737 ",7,94%,63%,187,5G Equipment,42509
Japan,2008,Robotics,48.81%," $10,974,189,015 ",4821,242," $95,275,082,481.28 ",278," $14,859,163,172 ",11,75%,67%,25,Semiconductors,176776
Japan,2008,AI,9.38%," $3,263,470,863 ",1953,1409," $144,897,152,506.38 ",358," $158,135,654 ",13,62%,17%,31,Cloud Servers,730641
Japan,2013,Cloud Computing,7.06%," $7,344,555,768 ",5798,914," $170,764,546,317.65 ",222," $21,361,233,474 ",8,65%,58%,157,AI Chips,762599
Japan,2023,AI,20.89%," $81,681,045,368 ",3710,724," $151,346,568,422.43 ",12," $39,796,866,912 ",11,47%,16%,170,Semiconductors,679269
China,2019,Software,33.15%," $6,840,535,286 ",7736,890," $135,684,447,201.18 ",175," $42,855,640,679 ",6,51%,13%,155,Robots,722267
Japan,2013,Cloud Computing,43.54%," $54,862,819,784 ",1221,905," $17,249,409,016.61 ",25," $1,625,180,854 ",5,45%,79%,3,Cloud Servers,125663
Japan,2006,Cloud Computing,41.44%," $11,032,812,314 ",2089,1787," $150,708,849,592.41 ",199," $31,541,206,178 ",1,72%,54%,125,Robots,28230
China,2023,Software,19.54%," $92,993,619,634 ",3141,267," $112,178,978,347.75 ",73," $25,240,207,188 ",9,62%,82%,168,Cloud Servers,769616
China,2001,Biotechnology,17.63%," $41,060,221,333 ",8687,1876," $151,387,578,535.97 ",465," $25,410,172,053 ",11,92%,77%,162,Robots,148078
Japan,2000,Cloud Computing,10.79%," $22,010,217,487 ",5730,1947," $154,057,638,262.93 ",167," $20,261,958,350 ",11,43%,34%,55,AI Chips,567395
Japan,2013,Robotics,30.02%," $86,673,271,779 ",7967,495," $49,113,599,168.09 ",459," $36,810,759,194 ",2,86%,71%,40,Cloud Servers,623953
China,2001,Biotechnology,29.21%," $65,826,348,527 ",4803,492," $31,452,552,157.19 ",207," $47,696,552,802 ",19,85%,34%,191,Semiconductors,234181
Japan,2020,Cloud Computing,46.60%," $97,443,890,485 ",2741,735," $9,802,235,450.91 ",139," $18,354,060,379 ",14,72%,65%,72,Cloud Servers,174012
Japan,2000,Semiconductor,30.85%," $7,354,359,891 ",609,1293," $34,153,739,851.91 ",71," $312,769,283 ",7,70%,10%,39,Cloud Servers,336868
China,2020,Robotics,23.09%," $53,544,275,607 ",4585,1958," $141,591,816,016.23 ",451," $27,761,014,063 ",7,42%,55%,188,AI Chips,723336
China,2006,Biotechnology,9.51%," $9,852,184,692 ",9167,926," $106,708,841,375.74 ",118," $47,184,186,907 ",4,69%,23%,148,Semiconductors,618419
Japan,2015,Cloud Computing,16.54%," $1,127,009,323 ",5210,1342," $127,352,842,410.18 ",57," $6,435,454,441 ",11,55%,88%,65,AI Chips,955753
Japan,2009,Telecommunications,11.74%," $96,987,936,480 ",4149,808," $3,471,922,627.74 ",168," $16,918,026,576 ",15,90%,64%,108,Cloud Servers,895575
China,2020,Software,29.79%," $4,266,753,063 ",397,354," $129,152,523,806.64 ",327," $46,407,008,062 ",6,86%,11%,48,AI Chips,509981
China,2006,Telecommunications,37.72%," $56,887,244,221 ",4085,1297," $86,930,040,726.66 ",392," $48,462,692,982 ",18,52%,44%,108,Robots,843188
China,2019,Semiconductor,19.14%," $21,110,267,958 ",5017,880," $92,461,129,635.73 ",485," $4,150,321,034 ",16,51%,16%,2,Robots,510169
Japan,2007,Software,25.14%," $29,770,901,634 ",6414,1837," $195,949,783,380.00 ",475," $11,088,252,654 ",15,53%,84%,67,Semiconductors,348212
China,2001,Cloud Computing,8.68%," $52,100,780,180 ",6005,887," $180,904,691,864.43 ",87," $3,614,671,325 ",16,61%,84%,87,AI Chips,871435
China,2007,Robotics,22.25%," $55,382,270,592 ",440,1711," $85,761,031,260.64 ",316," $26,016,637,362 ",12,71%,34%,186,Cloud Servers,165998
China,2012,Semiconductor,6.06%," $88,794,882,885 ",3463,1555," $25,403,813,690.30 ",38," $9,907,297,940 ",13,96%,59%,14,Robots,67899
China,2013,Robotics,14.92%," $69,603,879,176 ",210,904," $195,877,598,712.35 ",303," $32,569,747,306 ",3,100%,50%,165,5G Equipment,720707
Japan,2007,Biotechnology,42.92%," $96,382,877,111 ",9397,849," $95,881,140,206.73 ",279," $46,737,418,732 ",6,72%,36%,97,Cloud Servers,694893
China,2017,Robotics,33.25%," $10,611,193,483 ",6941,1659," $75,612,918,787.93 ",21," $5,677,513,002 ",17,74%,15%,104,Cloud Servers,933787
Japan,2023,Software,43.89%," $2,113,739,839 ",5514,196," $104,044,785,988.25 ",45," $44,438,780,110 ",14,63%,75%,1,Robots,724120
China,2003,AI,34.22%," $68,995,825,316 ",9302,250," $88,555,127,002.70 ",327," $28,737,341,921 ",6,52%,57%,174,Robots,15088
Japan,2022,Software,43.25%," $30,376,109,762 ",2527,425," $154,172,887,610.50 ",39," $13,609,909,991 ",4,44%,49%,92,Semiconductors,337953
China,2005,Software,11.86%," $76,916,514,512 ",2176,658," $164,587,824,650.92 ",287," $35,409,229,381 ",2,56%,57%,166,Semiconductors,410525
Japan,2014,Robotics,10.15%," $58,770,483,413 ",9302,1438," $137,842,627,845.83 ",335," $30,682,656,207 ",18,70%,48%,121,Robots,53403
China,2018,AI,25.46%," $99,697,693,180 ",5405,1885," $82,115,882,892.43 ",415," $37,015,828,152 ",3,86%,79%,154,AI Chips,197981
Japan,2008,Cloud Computing,23.47%," $25,846,185,796 ",341,1801," $111,977,745,250.52 ",140," $11,298,756,056 ",16,52%,80%,43,5G Equipment,522258
Japan,2007,Software,46.57%," $83,554,905,083 ",4064,1143," $164,214,843,559.35 ",307," $37,503,405,089 ",2,43%,80%,93,Semiconductors,852378
Japan,2003,Biotechnology,36.31%," $38,081,485,044 ",9357,344," $136,133,125,949.59 ",56," $2,431,679,962 ",1,53%,16%,152,Robots,470631
China,2007,AI,10.47%," $26,799,779,886 ",9410,810," $194,185,122,844.62 ",119," $23,971,958,645 ",12,50%,89%,121,AI Chips,857017
Japan,2008,Robotics,12.09%," $92,887,889,771 ",174,264," $156,790,476,256.02 ",22," $3,545,333,578 ",5,77%,43%,118,Robots,551098
Japan,2005,Robotics,38.21%," $36,203,295,495 ",6031,786," $58,421,398,310.13 ",250," $41,546,827,786 ",7,59%,11%,94,AI Chips,978375
Japan,2011,Semiconductor,31.19%," $39,786,382,884 ",9229,445," $10,660,945,378.02 ",131," $31,184,137,484 ",10,54%,80%,58,Robots,467035
Japan,2012,Software,23.95%," $62,341,789,775 ",5846,430," $14,489,281,973.56 ",188," $42,891,013,295 ",1,68%,36%,93,AI Chips,19082
China,2010,Software,41.41%," $83,256,694,001 ",3678,1510," $11,208,776,108.36 ",343," $47,689,794,416 ",16,54%,30%,142,AI Chips,255499
China,2011,Semiconductor,38.86%," $13,935,233,935 ",7670,767," $118,304,570,592.24 ",281," $14,791,041,518 ",7,72%,32%,115,Robots,954288
Japan,2013,AI,43.40%," $30,655,042,748 ",8985,998," $151,727,410,954.65 ",481," $6,725,381,302 ",15,83%,52%,199,Semiconductors,530279
China,2005,Robotics,20.27%," $28,513,483,091 ",6136,832," $20,858,882,427.40 ",242," $14,270,582,621 ",8,70%,89%,104,Cloud Servers,316305
Japan,2000,Biotechnology,21.33%," $49,601,594,422 ",6771,1115," $13,062,515,249.20 ",278," $19,495,319,925 ",7,92%,55%,162,Robots,757319
China,2016,Robotics,32.48%," $14,071,040,477 ",4674,936," $148,471,463,550.71 ",415," $24,663,060,761 ",14,66%,23%,152,Cloud Servers,692360
Japan,2000,Semiconductor,19.30%," $28,305,763,054 ",4804,1610," $180,172,491,765.12 ",117," $6,249,074,917 ",5,67%,69%,155,5G Equipment,88159
China,2011,Cloud Computing,30.77%," $74,977,425,783 ",3274,101," $132,383,793,772.32 ",290," $7,536,044,707 ",17,57%,54%,30,Cloud Servers,741690
China,2006,Semiconductor,7.66%," $79,266,875,836 ",6839,467," $64,257,167,486.00 ",348," $26,446,842,309 ",19,71%,65%,162,Semiconductors,716933
